project, status, reproducibleVariants, nonReproducibleVariants, stars
gopkg.in/tomb.v1, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 340
github.com/gosimple/slug, Fully Reproducible, ['all'], [], 952
github.com/tidwall/pretty, Fully Reproducible, ['all'], [], 287
github.com/hpcloud/tail, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2376
github.com/go-playground/locales, Fully Reproducible, ['all'], [], 232
github.com/cenkalti/backoff, Fully Reproducible, ['all'], [], 2885
go.uber.org/ratelimit, Fully Reproducible, ['all'], [], 3701
github.com/spf13/pflag, Fully Reproducible, ['all'], [], 2118
github.com/jtolds/gls, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 532
go.etcd.io/etcd/api/v3, Fully Reproducible, ['all'], [], 43902
